date,open,high,low,close,volume,symbol,pct_change
2024-03-01,934.95,938.15,927.0,929.05,57727.0,IRCTC.BSE,-0.006310497887587668
2024-02-29,924.55,933.45,912.55,926.9,217085.0,IRCTC.BSE,0.002541777080742007
2024-02-28,952.3,962.3,920.25,924.6,136667.0,IRCTC.BSE,-0.029087472435156917
2024-02-27,973.8,973.8,948.25,952.3,116008.0,IRCTC.BSE,-0.022078455535017458
2024-02-26,968.0,989.8,963.5,967.1,308667.0,IRCTC.BSE,-0.000929752066115679
2024-02-23,946.7,970.0,946.0,964.65,767856.0,IRCTC.BSE,0.01896059997887391
2024-02-22,929.0,939.25,916.75,935.95,187794.0,IRCTC.BSE,0.007481162540366034
2024-02-21,951.6,959.6,922.3,926.35,96672.0,IRCTC.BSE,-0.02653425809163514
2024-02-20,951.95,954.85,944.55,951.55,63484.0,IRCTC.BSE,-0.0004201901360366521
2024-02-19,941.05,956.75,939.55,946.75,263573.0,IRCTC.BSE,0.006057063917964025
2024-02-16,956.4,959.0,937.05,941.05,107544.0,IRCTC.BSE,-0.01604976997072357
2024-02-15,937.9,967.7,935.6,951.3,471533.0,IRCTC.BSE,0.014287237445356624
2024-02-14,919.95,934.0,898.45,929.55,364597.0,IRCTC.BSE,0.010435349747268775
2024-02-13,899.05,914.0,876.75,910.8,425339.0,IRCTC.BSE,0.013069350981591682
2024-02-12,940.75,947.0,891.1,900.1,495212.0,IRCTC.BSE,-0.04321020462397021
2024-02-09,947.85,954.35,915.6,939.2,353341.0,IRCTC.BSE,-0.009125916547976976
2024-02-08,956.05,959.2,941.75,944.7,75330.0,IRCTC.BSE,-0.011871764029077882
2024-02-07,969.85,972.9,948.25,954.7,187919.0,IRCTC.BSE,-0.015620972315306467
2024-02-06,947.15,968.0,939.7,964.65,139505.0,IRCTC.BSE,0.018476482077812384
2024-02-05,968.25,974.1,941.7,946.5,538160.0,IRCTC.BSE,-0.022463206816421378
2024-02-02,970.0,986.0,964.0,967.55,128814.0,IRCTC.BSE,-0.0025257731958763354
2024-02-01,988.35,993.2,958.0,963.0,622617.0,IRCTC.BSE,-0.02564880862042801
2024-01-31,969.95,982.0,965.35,978.35,105429.0,IRCTC.BSE,0.008660240218567943
2024-01-30,989.8,989.8,960.4,963.6,177374.0,IRCTC.BSE,-0.026469993938169258
2024-01-29,985.0,989.45,972.9,981.6,460138.0,IRCTC.BSE,-0.0034517766497461698
2024-01-25,976.75,990.0,959.25,970.3,564504.0,IRCTC.BSE,-0.006603532121832655
2024-01-24,940.0,976.0,908.45,970.95,950840.0,IRCTC.BSE,0.03292553191489367
2024-01-23,1049.75,1049.75,927.5,935.45,882672.0,IRCTC.BSE,-0.10888306739699924
2024-01-22,983.75,983.75,983.75,983.75,0.0,IRCTC.BSE,0.0
2024-01-20,998.85,1049.7,993.85,1026.4,832860.0,IRCTC.BSE,0.027581718976823415
2024-01-19,935.0,988.85,935.0,983.75,562169.0,IRCTC.BSE,0.05213903743315508
2024-01-18,935.0,943.75,871.05,927.15,320628.0,IRCTC.BSE,-0.008395721925133715
2024-01-17,945.8,949.8,932.0,934.55,564468.0,IRCTC.BSE,-0.011894692323958555
2024-01-16,973.95,973.95,935.55,949.8,255001.0,IRCTC.BSE,-0.024795934082858555
2024-01-15,962.0,975.9,951.3,967.3,719713.0,IRCTC.BSE,0.005509355509355462
2024-01-12,948.95,962.25,941.95,951.3,296487.0,IRCTC.BSE,0.002476421307761114
2024-01-11,949.0,951.55,938.15,940.2,281823.0,IRCTC.BSE,-0.00927291886195991
2024-01-10,921.25,944.35,907.4,941.55,1007366.0,IRCTC.BSE,0.02203527815468109
2024-01-09,925.9,926.7,912.1,919.35,144531.0,IRCTC.BSE,-0.007074198077546123
2024-01-08,918.85,929.5,906.0,916.2,930434.0,IRCTC.BSE,-0.0028840398323991697
2024-01-05,908.65,923.45,894.0,906.15,334398.0,IRCTC.BSE,-0.002751334397182634
2024-01-04,903.05,912.0,895.25,901.15,180145.0,IRCTC.BSE,-0.0021039809534355546
2024-01-03,885.35,910.0,885.35,899.05,218821.0,IRCTC.BSE,0.015474106285649665
2024-01-02,897.9,903.45,866.8,885.7,601776.0,IRCTC.BSE,-0.01358725916026276
2024-01-01,890.05,916.5,888.3,891.9,339790.0,IRCTC.BSE,0.002078534913768915
2023-12-29,871.95,895.0,859.5,886.65,359335.0,IRCTC.BSE,0.01685876483743326
2023-12-28,873.95,875.0,862.0,863.75,482272.0,IRCTC.BSE,-0.011671148235024938
2023-12-27,875.0,885.1,858.8,867.75,253059.0,IRCTC.BSE,-0.008285714285714285
2023-12-26,865.0,883.2,858.75,869.65,855989.0,IRCTC.BSE,0.005375722543352575
2023-12-22,872.05,887.1,853.8,860.95,1010983.0,IRCTC.BSE,-0.012728627945645214
2023-12-21,801.65,874.05,801.65,868.25,2539508.0,IRCTC.BSE,0.08307865028378972
2023-12-20,886.0,889.55,806.1,815.55,873474.0,IRCTC.BSE,-0.0795146726862303
2023-12-19,879.35,916.35,852.5,881.3,1952344.0,IRCTC.BSE,0.002217547051799547
2023-12-18,782.05,888.9,778.8,879.1,3612446.0,IRCTC.BSE,0.12409692474905706
2023-12-15,795.1,796.95,779.8,780.95,117663.0,IRCTC.BSE,-0.017796503584454757
2023-12-14,795.05,800.0,785.3,790.7,632111.0,IRCTC.BSE,-0.005471354002892786
2023-12-13,771.05,781.45,763.5,778.0,367333.0,IRCTC.BSE,0.009013682640555147
2023-12-12,767.1,786.25,763.4,770.6,338998.0,IRCTC.BSE,0.004562638508669013
2023-12-11,750.1,766.8,750.1,761.85,402760.0,IRCTC.BSE,0.015664578056259166
2023-12-08,761.8,769.9,739.1,749.55,202447.0,IRCTC.BSE,-0.016080336046206355
2023-12-07,741.05,762.0,731.65,757.5,739226.0,IRCTC.BSE,0.02219823223804068
2023-12-06,717.05,749.75,717.05,740.5,334548.0,IRCTC.BSE,0.0327034376961161
2023-12-05,723.05,729.2,708.9,714.95,136824.0,IRCTC.BSE,-0.011202544775603222
2023-12-04,708.95,723.55,705.9,720.55,643273.0,IRCTC.BSE,0.016362225826927018
2023-12-01,707.35,710.0,700.0,701.35,55569.0,IRCTC.BSE,-0.008482363752032233
2023-11-30,698.35,709.75,698.35,705.25,248223.0,IRCTC.BSE,0.009880432447912904
2023-11-29,696.55,709.45,696.55,700.7,56210.0,IRCTC.BSE,0.005957935539444535
2023-11-28,698.95,698.95,690.4,696.55,148497.0,IRCTC.BSE,-0.0034337220115889418
2023-11-24,701.95,704.35,692.0,692.9,32611.0,IRCTC.BSE,-0.012892656172092126
2023-11-23,700.05,706.05,699.05,699.7,251466.0,IRCTC.BSE,-0.000499964288264994
2023-11-22,708.05,710.5,693.05,700.0,49753.0,IRCTC.BSE,-0.011369253583786392
